ID,Incident Description,Type of Cybercrime,Affected Party,Impact on Education,Prevention Measures,Legal Framework,Region,Difficulty Level,Keywords
24,A school website was defaced by hackers with offensive content.,Website Defacement,"School, Students","Reputational damage, disruption of online services","Website monitoring, secure hosting platforms","IT Act, 2000",India,Medium,"Website defacement, cyberattack"
25,Fake online scholarships were advertised to lure students into paying fees for non-existent programs.,Scholarship Scam,Students,"Financial loss, scam",Verification of scholarship legitimacy,"Consumer Protection Act, 2019",India,Medium,"Scholarship fraud, scam"
26,"A student’s laptop was infected with ransomware, locking all their research data.",Ransomware,Student,"Loss of research data, academic disruption","Regular data backups, anti-ransomware software","IT Act, 2000",India,Hard,"Ransomware, data loss"
27,A professor’s email account was hijacked to send spam emails to students.,Email Account Hacking,"Faculty, Students","Loss of trust, spreading of malicious content","Secure email accounts, phishing protection","IPC, 1860",India,Medium,"Email hacking, spam"
28,A student was blackmailed with personal photos shared online after hacking into their private account.,Blackmail,Student,"Emotional distress, privacy violation","Secure accounts, reporting mechanisms","IPC, 1860",India,Hard,"Blackmail, online extortion"
29,"A university’s financial department was attacked by malware, diverting funds to external accounts.",Malware Attack,"University, Staff","Financial theft, disruption of services","Secure financial systems, malware protection","IT Act, 2000",India,Hard,"Malware, financial fraud"
30,Fake job offers were sent to students asking for payment for placement services.,Job Scam,Students,"Financial loss, false job promises","Verification of job offers, use of official channels","Consumer Protection Act, 2019",India,Medium,"Job scam, fraud"
31,A teacher's email was compromised to send inappropriate messages to students.,Email Hacking,"Teacher, Students","Reputation damage, emotional harm","Secure email accounts, awareness of phishing","IPC, 1860",India,Medium,"Email hacking, harassment"
32,Students were tricked into revealing personal information through fake exam result websites.,Phishing,Students,"Identity theft, exposure of personal data","Official result portals, awareness training","IT Act, 2000",India,Medium,"Phishing, exam fraud"
33,A student's online exam answers were stolen during a remote test.,Online Exam Fraud,"Student, Educational Institutions","Academic integrity compromised, unfair advantage",Secure exam proctoring systems,"IT Act, 2000",India,Hard,"Exam fraud, cheating"
34,A faculty member was scammed by an online publisher who offered to publish their work for a fee but never delivered.,Academic Fraud,Faculty,"Financial loss, academic dishonesty","Verify publishers, use trusted academic networks","Consumer Protection Act, 2019",India,Medium,"Academic fraud, publishing scam"
35,A student’s credit card details were stolen through a fake e-commerce platform offering textbooks.,Credit Card Fraud,Students,"Financial loss, theft of personal details","Secure payment systems, awareness of scams","IT Act, 2000",India,Medium,"Credit card fraud, e-commerce scam"
36,A student’s social media account was hijacked to promote fake educational programs.,Account Hacking,Student,"Reputation damage, misleading promotions","Two-factor authentication, secure accounts","IPC, 1860",India,Medium,"Account hacking, scam"
37,"A teacher’s bank account was hacked, and salaries were diverted to fraudulent accounts.",Financial Fraud,"Teacher, School","Financial loss, salary theft","Secure bank accounts, financial monitoring systems","IT Act, 2000",India,Hard,"Financial fraud, salary theft"
38,"Cybercriminals hacked into an educational platform’s server, stealing student data and grades.",Data Breach,"Students, Educational Institutions","Exposure of personal data, loss of academic information","Strong server security, encryption of student data","IT Act, 2000",India,Hard,"Data breach, hacking"
39,A student was scammed by a fake university claiming to offer online degrees.,Online Degree Scam,Student,"Financial loss, misleading degree promises","Verify institution legitimacy, use accreditation portals",Indian Penal Code,India,Medium,"Degree scam, fake university"
40,Teachers were targeted by scammers posing as suppliers offering educational resources for a fee.,Supplier Scam,"Teachers, Schools","Financial loss, exploitation of educators","Verify suppliers, use trusted vendors","Consumer Protection Act, 2019",India,Medium,"Scam, vendor fraud"
41,"A school’s online database was attacked, leading to the exposure of student medical records.",Data Breach,"School, Students","Privacy violation, exposure of sensitive data","Strong access controls, encryption of medical records","IT Act, 2000",India,Hard,"Data breach, medical records"
42,Fake scholarships were promoted on social media targeting underprivileged students for financial gain.,Scholarship Scam,Students,"Financial loss, misleading promises","Scholarship verification, online awareness campaigns","Consumer Protection Act, 2019",India,Medium,"Scholarship fraud, scam"
43,A teacher’s personal bank account was accessed by cybercriminals posing as IT support.,Phishing,Teacher,"Financial theft, account hijacking","Avoid sharing sensitive details, use trusted IT support","IPC, 1860",India,Medium,"Phishing, financial fraud"
44,Students were blackmailed by hackers who threatened to release personal documents unless paid.,Blackmail,Students,"Emotional distress, financial loss","Secure personal files, avoid sharing sensitive documents","IPC, 1860",India,Hard,"Blackmail, extortion"
45,"A university’s library system was hacked, and access to research papers was restricted unless a ransom was paid.",Ransomware,"University, Researchers","Disruption of academic access, loss of resources","Regular backups, strong IT security systems","IT Act, 2000",India,Hard,"Ransomware, academic access"
46,A student's personal details were sold on the dark web after a phishing attack.,Identity Theft,Student,"Identity theft, financial risks","Secure online transactions, identity protection tools","IPC, 1860",India,Hard,"Identity theft, dark web"
47,Fake online assessments were conducted by scammers to steal students' personal information.,Online Fraud,Students,"Financial loss, identity theft","Verification of online platforms, secure assessments","IT Act, 2000",India,Medium,"Fraud, online assessments"
48,A student was lured into sharing sensitive information in exchange for access to free educational resources.,Social Engineering,Students,"Privacy violation, exploitation","Awareness training, use of official resources","IT Act, 2000",India,Medium,"Social engineering, scam"
49,"A university’s payroll system was hacked, and employees were not paid for several months.",Payroll Fraud,"University, Employees","Financial loss, disruption of academic staff services","Secure payroll systems, monitoring systems","IT Act, 2000",India,Hard,"Payroll fraud, hacking"
50,A faculty member’s research materials were stolen and published under a competitor’s name.,Intellectual Property Theft,Faculty,"Loss of academic credit, reputation damage","Patent protection, academic integrity policies","Copyright Act, 1957",India,Hard,"IP theft, research materials"
51,Fake job placement services sent fraudulent emails asking for payment for job opportunities.,Job Scam,Students,"Financial loss, false job promises","Verify job offers, official university placement office","Consumer Protection Act, 2019",India,Medium,"Job scam, financial fraud"
52,Hackers impersonated university officials to request personal information from students.,Phishing,Students,"Identity theft, data loss","Awareness campaigns, email authentication","IT Act, 2000",India,Medium,"Phishing, impersonation"
53,"Malware was sent through email disguised as an important academic update, affecting students’ computers.",Malware Attack,Students,"Device damage, data loss","Anti-virus software, secure email platforms","IT Act, 2000",India,Medium,"Malware, phishing"
54,A student's online academic records were manipulated to show incorrect grades.,Data Tampering,"Students, Educational Institutions","Damage to academic integrity, unfair grade reporting","Secure grade storage, regular audits","IT Act, 2000",India,Hard,"Data tampering, academic fraud"
55,Fake online platforms provided unauthorized access to study materials and software for a fee.,Unauthorized Access,Students,"Legal violations, academic dishonesty","Awareness, use of official educational platforms",Indian Penal Code,India,Medium,"Fraud, unauthorized access"
56,"A school’s email system was hacked, and personal student information was exposed to unauthorized users.",Email Hacking,"School, Students","Privacy invasion, data exposure","Secure email system, encryption","IT Act, 2000",India,Medium,"Email hacking, data breach"
57,Fake websites offering discounted textbooks tricked students into paying for fraudulent services.,E-commerce Scam,Students,"Financial loss, misleading transactions","Use trusted e-commerce websites, secure payment methods","Consumer Protection Act, 2019",India,Medium,"E-commerce fraud, textbook scam"
58,Students were tricked into downloading apps that promised free educational resources but instead stole their personal data.,App Scamming,Students,"Data theft, loss of privacy","Only download apps from trusted sources, use secure platforms","IT Act, 2000",India,Medium,"App scam, data theft"
59,A teacher's personal data was leaked after a school website was attacked by cybercriminals.,Data Leak,"Teacher, School","Exposure of personal data, privacy violation","Regular website updates, strong access control","IT Act, 2000",India,Medium,"Data leak, cyberattack"
60,Students’ online assessments were disrupted by a DDoS attack during exam hours.,DDoS Attack,"Students, Educational Institutions","Disruption of exams, unfair academic disadvantage","DDoS protection services, backup systems","IT Act, 2000",India,Hard,"DDoS, exam disruption"
61,A fake university degree certificate was sold to students posing as an accredited institution.,Degree Fraud,Students,"Misleading academic qualifications, legal consequences","Verify institutions, accreditation checks",Indian Penal Code,India,Hard,"Degree fraud, fake university"
62,A faculty member’s email was compromised and used to send threatening messages to students.,Email Hacking,"Faculty, Students","Emotional distress, harassment","Email security, awareness training","IPC, 1860",India,Medium,"Email hacking, harassment"
63,Cybercriminals used social media to harass students by publicly posting personal information.,Social Media Harassment,Students,"Emotional harm, reputation damage","Social media privacy settings, reporting features","IPC, 1860",India,Medium,"Cyber harassment, social media"
64,A student was tricked into paying for fake online certifications from a fraudulent platform.,Certification Fraud,Students,"Financial loss, misleading credentials",Use only verified online education platforms,"Consumer Protection Act, 2019",India,Medium,"Certification fraud, scam"
65,A student’s device was infected with spyware after clicking on a fake scholarship advertisement.,Spyware Attack,Students,"Privacy invasion, data loss","Use anti-spyware software, avoid suspicious ads","IT Act, 2000",India,Medium,"Spyware, scholarship scam"
66,Teachers' exam papers were leaked online before the scheduled exam date.,Data Leak,"Teachers, Students","Compromised exam integrity, unfair advantage","Secure exam preparation systems, password protection",Indian Penal Code,India,Hard,"Exam leak, data breach"
67,Students were blackmailed by hackers who threatened to release personal data unless paid.,Blackmail,Students,"Emotional distress, financial loss","Secure accounts, encrypted personal data","IPC, 1860",India,Hard,"Blackmail, extortion"
68,A school’s virtual classroom was hijacked by hackers who disrupted online classes and shared inappropriate content.,Hacking,"Students, Teachers","Disruption of learning, emotional harm","Secure online learning platforms, monitoring","IT Act, 2000",India,Hard,"Online learning, cyberattack"
69,Fake online course certificates were sold to students without actual course completion.,Educational Fraud,Students,"Misleading credentials, financial loss","Verify course legitimacy, accreditation checks","Consumer Protection Act, 2019",India,Medium,"Course fraud, certificates"
70,"Cybercriminals targeted students with fake job offers requiring a ""processing fee"" to apply.",Job Scam,Students,"Financial loss, exploitation","Verify job offers, use trusted job portals","Consumer Protection Act, 2019",India,Medium,"Job scam, fraud"
71,A university's library resources were held for ransom after a malware attack on the server.,Ransomware,"University, Students","Loss of academic resources, disruption","Regular backups, cybersecurity measures","IT Act, 2000",India,Hard,"Ransomware, academic resources"
72,Students’ login credentials were stolen from an unsecured school website and used for unauthorized access.,Credential Theft,Students,"Identity theft, unauthorized access","Secure website, encryption, strong passwords","IT Act, 2000",India,Hard,"Credential theft, hacking"
73,A teacher's social media account was hacked to spread misinformation about school policies.,Social Media Hacking,"Teacher, School","Reputation damage, confusion","Two-factor authentication, social media monitoring","IPC, 1860",India,Medium,"Social media, hacking"
74,Students were tricked into revealing sensitive information through fake scholarship websites.,Phishing,Students,"Identity theft, financial loss","Verify scholarship websites, awareness","IT Act, 2000",India,Medium,"Scholarship fraud, phishing"
75,A school’s website was defaced with politically charged content by a group of hackers.,Website Defacement,"School, Students","Reputation damage, confusion","Secure hosting platforms, website monitoring","IT Act, 2000",India,Medium,"Website defacement, cyberattack"
76,Fake exam results were distributed by scammers claiming to offer a retake option for a fee.,Exam Fraud,Students,"Misleading information, financial loss","Verify exam results, use official portals",Indian Penal Code,India,Medium,"Exam fraud, scam"
77,A student's phone was hacked to access personal study materials and research data.,Data Theft,Student,"Loss of research, intellectual property theft","Use secure cloud services, encrypted storage","IPC, 1860",India,Medium,"Data theft, hacking"
78,"A faculty member was scammed by a fake online conference that charged a ""participation fee.""",Conference Scam,"Faculty, Researchers","Financial loss, wasted time","Verify conference legitimacy, official channels","Consumer Protection Act, 2019",India,Medium,"Conference scam, fraud"
79,"A school’s online learning portal was infected with a Trojan virus, causing disruption during lessons.",Trojan Virus,"Students, Teachers","Disruption of classes, potential data loss","Use anti-virus software, secure online platforms","IT Act, 2000",India,Medium,"Trojan virus, cybersecurity"
80,"Students received malicious links disguised as academic updates, which led to malware infections.",Phishing,Students,"Device damage, data theft","Anti-phishing training, secure email systems","IT Act, 2000",India,Medium,"Phishing, malware"
81,"Fake websites offered counterfeit textbooks at a discount, stealing students' payment information.",E-commerce Scam,Students,"Financial loss, stolen personal information","Use trusted e-commerce sites, secure payment methods","Consumer Protection Act, 2019",India,Medium,"Textbook scam, fraud"
82,A teacher’s email account was hacked to send fake school notices to students.,Email Hacking,"Teacher, Students","Loss of trust, spread of fake information","Secure email passwords, awareness of phishing","IPC, 1860",India,Medium,"Email fraud, hacking"
83,Fake student loan offers were sent to students requiring an upfront payment.,Loan Scam,Students,"Financial loss, exploitation","Use government-approved loan providers, verification","Consumer Protection Act, 2019",India,Medium,"Loan fraud, scam"
84,"A university’s admission system was hacked, and false admissions were granted to fake students.",System Hacking,"University, Students","Reputation damage, loss of credibility","Secure admission system, real-time monitoring","IT Act, 2000",India,Hard,"System hacking, admission fraud"
85,"Students were targeted by scammers posing as tutors, collecting payment for non-existent tutoring sessions.",Tutoring Scam,Students,"Financial loss, exploitation","Verify tutor credentials, use trusted tutoring platforms","Consumer Protection Act, 2019",India,Medium,"Tutoring scam, fraud"
86,"A student’s social media was used to spread false rumors, damaging their reputation.",Social Media Harassment,Student,"Emotional distress, social damage","Social media privacy settings, reporting features","IPC, 1860",India,Medium,"Social media, harassment"
87,A professor's research materials were copied and published by another researcher without credit.,Intellectual Property Theft,Faculty,"Loss of credit, academic dishonesty","Patent protection, academic integrity policies","Copyright Act, 1957",India,Hard,"IP theft, research plagiarism"
88,Hackers gained unauthorized access to a school’s payroll system and diverted funds to fake accounts.,Payroll Fraud,"School, Staff","Financial loss, payroll disruption","Secure payroll systems, financial monitoring","IT Act, 2000",India,Hard,"Payroll fraud, hacking"
89,"A university’s data was breached, exposing sensitive academic records of faculty and students.",Data Breach,"University, Faculty, Students","Exposure of sensitive information, loss of trust","Regular security audits, encryption of sensitive data","IT Act, 2000",India,Hard,"Data breach, cybersecurity"
90,A student was scammed by a fake internship program that required a payment for placement services.,Internship Scam,Students,"Financial loss, missed opportunities","Verify internship programs, use official channels","Consumer Protection Act, 2019",India,Medium,"Internship scam, fraud"
91,A hacker exploited vulnerabilities in a university's Wi-Fi network to steal students’ private information.,Network Hacking,Students,"Data theft, privacy violation","Secure Wi-Fi networks, use of VPNs","IT Act, 2000",India,Hard,"Network hacking, Wi-Fi security"
92,"Fake emails from a ""university"" offered fake student loans to students at very high interest rates.",Loan Scam,Students,"Financial loss, exploitation","Verify loan offers, avoid unsolicited emails","Consumer Protection Act, 2019",India,Medium,"Loan scam, financial fraud"
93,A teacher’s online teaching session was interrupted by hackers who disrupted the class.,Cyberattack,"Teachers, Students","Disruption of learning, emotional harm","Secure teaching platforms, monitoring","IT Act, 2000",India,Hard,"Cyberattack, online teaching"
94,A student was scammed by a fake website offering “exclusive academic papers” for sale.,Academic Fraud,Students,"Financial loss, misleading academic support",Use verified academic platforms,"Copyright Act, 1957",India,Medium,"Academic fraud, scam"
95,A school's internal communication system was breached by cybercriminals to spread malicious content.,System Hacking,"School, Teachers","Reputation damage, information leakage",Secure internal communication tools,"IT Act, 2000",India,Hard,"System hacking, security breach"
96,A teacher’s identity was stolen to create a fake online profile for fraudulent teaching services.,Identity Theft,Teacher,"Reputation damage, legal issues","Monitor online profiles, identity protection","IPC, 1860",India,Medium,"Identity theft, impersonation"
97,Students were targeted with phishing emails claiming they had won a scholarship but needed to pay fees.,Phishing,Students,"Financial loss, identity theft","Verify scholarship emails, report suspicious activity","IT Act, 2000",India,Medium,"Phishing, scholarship scam"
98,A fake student portal was created to collect personal and financial information from students.,Identity Theft,Students,"Data theft, fraud","Verify student portals, secure login methods","IT Act, 2000",India,Hard,"Identity theft, phishing"
99,A school website was compromised to collect payment information for nonexistent services.,Payment Fraud,"School, Students","Financial loss, reputation damage","Secure online payment systems, regular audits","IT Act, 2000",India,Hard,"Payment fraud, cybersecurity"
100,"Fake job alerts were sent to students by email, tricking them into paying for job application services.",Job Scam,Students,"Financial loss, exploitation","Verify job offers, use trusted job portals","Consumer Protection Act, 2019",India,Medium,"Job scam, financial fraud"
101,i lost my money by cliking link,,,,"I'm so sorry to hear that happened to you. Losing money due to a scam is a really terrible experience, and unfortunately, it's a very common tactic used by cybercriminals.

Here's what you should do immediately, and how to protect yourself going forward:

**What to do NOW (as quickly as possible):**

1.  **Contact Your Bank/Financial Institution IMMEDIATELY:**
    *   Call the fraud department of the bank or financial institution where your money was lost or from which your payment method (credit card, debit card) was used.
    *   Explain what happened. They might be able to freeze the transaction, reverse it, or issue new cards. The quicker you act, the better your chances.
    *   Check their official website for their fraud hotline number – **do not click on any links in emails or texts for this purpose.**

2.  **Change ALL Your Important Passwords:**
    *   Especially your banking passwords, email passwords, and any other accounts that were linked or could have been compromised (social media, shopping sites, etc.).
    *   Use strong, unique passwords for each account. A password manager can help with this.

3.  **Scan Your Device for Malware:**
    *   If you clicked a link, malware (like spyware or a keylogger) might have been installed on your computer or phone.
    *   Run a full scan with reputable antivirus/anti-malware software (e.g., Windows Defender, Malwarebytes, AVG, Norton, McAfee).

4.  **Report the Incident:**
    *   **Local Police:** File a police report. This might be necessary for your bank or insurance claim.
    *   **Cybercrime Reporting Agencies:**
        *   **In the US:** File a report with the FBI's Internet Crime Complaint Center (IC3.gov).
        *   **In the UK:** Report to Action Fraud.
        *   **In Canada:** Report to the Canadian Anti-Fraud Centre.
        *   **Other Countries:** Search for ""[your country] report cybercrime"" or ""[your country] anti-fraud agency.""

5.  **Monitor Your Accounts and Credit Report:**
    *   Keep a close eye on your bank statements and credit card activity for any unauthorized transactions.
    *   Consider placing a fraud alert on your credit report to prevent new accounts from being opened in your name.

**How to Protect Yourself in the Future:**

*   **Be Extremely Skeptical of Links:** Never click on links in unsolicited emails, text messages, or social media posts, especially if they ask you to log in or provide personal information.
*   **Verify the Sender:** Even if an email looks legitimate, check the sender's actual email address (hover over it or click to see the full address). Scammers often use addresses that are slightly off.
*   **Go Directly to the Source:** If you get an email from your bank, Amazon, PayPal, etc., that looks suspicious, *do not click the link*. Instead, open your web browser and type in the official website address yourself (e.g., bankofamerica.com, amazon.com).
*   **Enable Two-Factor Authentication (2FA/MFA):** Use 2FA on all your important accounts (email, banking, social media). This adds an extra layer of security, usually requiring a code from your phone in addition to your password.
*   **Use Strong, Unique Passwords:** Don't reuse passwords. Use a password manager to help create and store complex passwords.
*   **Keep Software Updated:** Regularly update your operating system, web browser, and antivirus software. These updates often include security patches for known vulnerabilities.
*   **Be Wary of Urgency/Threats:** Scammers often try to create a sense of urgency or fear (""Your account will be closed!"" ""Click now to avoid charges!""). These are red flags.
*   **Educate Yourself:** Learn about common phishing techniques and other online scams. The more you know, the better you can spot them.

It's a tough lesson to learn, but the most important thing now is to take these steps to secure your accounts and report the incident. Don't hesitate to reach out for help from your bank or the relevant authorities.",,,,
102,मला बँक मधून कॉल आहे असं सांगून OTP घेतला आणि पैसे गेले बँक मधले.. आता मी काय करू?,,,,"हे ऐकून खूप वाईट वाटले. अशा फसवणुकीचे प्रकार हल्ली खूप वाढले आहेत. पण काळजी करू नका, योग्य उपाययोजना केल्यास पैसे परत मिळण्याची शक्यता असते. तुम्ही लगेच खालील गोष्टी करा:

1.  **तुमचं डेबिट कार्ड/क्रेडिट कार्ड आणि इंटरनेट बँकिंग लगेच ब्लॉक करा:**
    *   यासाठी तुमच्या बँकेच्या ग्राहक सेवा केंद्राला (Customer Care) लगेच फोन करा. बँकेचा ग्राहक सेवा क्रमांक तुमच्या पासबुकवर, बँकेच्या अधिकृत वेबसाइटवर किंवा एटीएमवर दिलेला असतो.
    *   तुम्ही नेट बँकिंगमध्ये लॉगिन करून किंवा बँकेच्या ॲपमध्ये जाऊनही कार्ड ब्लॉक करण्याचा पर्याय शोधू शकता. हे केल्याने पुढील आर्थिक नुकसान थांबेल.

2.  **तुमच्या बँकेला तात्काळ कळवा:**
    *   कार्ड ब्लॉक केल्यानंतर बँकेला तुम्ही फसवणुकीचे बळी पडल्याचे सांगा. तुमच्या खात्यातून गेलेल्या पैशांचा तपशील (किती पैसे गेले, कधी गेले, आणि शक्य असल्यास कोणत्या खात्यात गेले) द्या.
    *   बँक तुम्हाला पुढील कायदेशीर प्रक्रिया सांगेल आणि ट्रान्झॅक्शन थांबवण्याचा किंवा परत मिळवण्याचा प्रयत्न करेल.

3.  **सायबर क्राईम (Cyber Crime) कडे तक्रार नोंदवा:**
    *   **जितक्या लवकर तुम्ही तक्रार कराल, तितके पैसे परत मिळण्याची शक्यता वाढते.**
    *   तुम्ही भारत सरकारच्या सायबर क्राईम पोर्टलवर (National Cyber Crime Reporting Portal) ऑनलाइन तक्रार करू शकता: **www.cybercrime.gov.in**
    *   किंवा, हेल्पलाइन क्रमांक **1930** वर फोन करूनही तुम्ही तक्रार नोंदवू शकता.

4.  **स्थानिक पोलीस स्टेशनमध्ये तक्रार नोंदवा:**
    *   बँकेतून आणि सायबर क्राईमकडून तुम्हाला FIR (First Information Report) नोंदवण्यासाठी सांगितले जाऊ शकते. शक्य असल्यास, त्वरित पोलिसांकडे जाऊन तक्रार दाखल करा.

**या सर्व प्रक्रियेसाठी तुमच्याकडे खालील माहिती तयार असावी:**

*   तुमच्या खात्यातून गेलेल्या पैशांचा तपशील (किती, कधी, कोणत्या खात्यात गेले).
*   तुम्ही घेतलेला फोन नंबर आणि कॉलची वेळ.
*   बँकेचे पासबुक, खाते क्रमांक.
*   पैसे कापले गेल्याचे मेसेज/एसएमएस.

**पुढील गोष्टी लक्षात ठेवा:**

*   **कोणतीही बँक किंवा वित्तीय संस्था तुम्हाला फोन करून तुमचा OTP (One Time Password), पिन (PIN) किंवा पूर्ण कार्ड नंबर कधीही विचारत नाही.** अशा प्रकारचा फोन आल्यास तो फसवणुकीचा कॉल असतो हे समजा.
*   तुमचा OTP किंवा पिन कोणासोबतही शेअर करू नका, अगदी बँकेचा अधिकारी असल्याचे सांगणाऱ्या व्यक्तीसोबतही नाही.

लवकरात लवकर या कृती करा. तुम्ही जितक्या लवकर कारवाई कराल, तितके पैसे परत मिळण्याची शक्यता जास्त असते. स्वतःला दोष देऊ नका, अशा फसवणुकीचे बळी अनेक जण होतात.",,,,
